dateTime,iteration#,class_precision,method_precision,attr_precision,avg_precision
2025-09-04 19:41:01.917840,0,0.9230769230769231,0.3900880960729313,0.6504629629629629,0.4909069955282044
2025-09-04 20:37:36.072404,0,0.9230769230769231,0.3900880960729312,0.6504629629629629,0.4909069955282043
2025-09-04 22:24:36.387267,0,0.9230769230769231,0.3900880960729312,0.6504629629629629,0.6727251773463861
2025-09-04 23:07:03.046678,0,0.9230769230769231,0.3900880960729313,0.6504629629629629,0.6727251773463863
2025-09-04 23:18:02.674311,1,0.9230769230769231,0.3900880960729313,0.6504629629629629,0.6727251773463863
2025-09-04 23:26:50.353071,2,0.9230769230769231,0.3900880960729313,0.6504629629629629,0.6727251773463863
2025-09-05 06:53:33.792087,0,0.9375,0.3431515579394261,0.6537037037037037,0.6169221487441158
2026-01-08 15:18:10.422480,0,1.0,0.37931208868270583,0.6773504273504274,0.674879914722569
2026-01-08 15:44:31.663473,0,1.0,0.3793120886827058,0.6773504273504275,0.674879914722569
2026-01-08 16:03:54.791714,0,1.0,0.3793120886827058,0.6773504273504274,0.674879914722569
